 4,8    	 3,0    	 1,4    	 0,3    	Iris-setosa
 5,1    	 3,8    	 1,6    	 0,2    	Iris-setosa
 4,6    	 3,2    	 1,4    	 0,2    	Iris-setosa
 5,3    	 3,7    	 1,5    	 0,2    	Iris-setosa
 5,0    	 3,3    	 1,4    	 0,2    	Iris-setosa
 5,0    	 2,0    	 3,5    	 1,0    	Iris-versicolor
 5,9    	 3,0    	 4,2    	 1,5    	Iris-versicolor
 5,6    	 2,5    	 3,9    	 1,1    	Iris-versicolor
 6,0    	 2,7    	 5,1    	 1,6    	Iris-versicolor
 5,1    	 2,5    	 3,0    	 1,1    	Iris-versicolor
 7,2    	 3,0    	 5,8    	 1,6    	Iris-virginica
 7,4    	 2,8    	 6,1    	 1,9    	Iris-virginica
 7,9    	 3,8    	 6,4    	 2,0    	Iris-virginica
 6,4    	 2,8    	 5,6    	 2,2    	Iris-virginica
